word,reading,romaji,jlpt_level,pos,meaning_vi,meaning_en,tags,frequency,source,license,example_jp,example_reading,example_vi,example_en
分かる,わかる,wakaru,N5,verb,hiểu; hiểu rõ,to understand,daily,150,self,self-authored,日本語が分かりますか。,にほんごがわかりますか。,Bạn có hiểu tiếng Nhật không?,Do you understand Japanese?
できる,できる,dekiru,N5,verb,có thể làm; giỏi,to be able to; can,daily,145,self,self-authored,日本語が少し話せます。,にほんごがすこしはなせます。,Tôi có thể nói một chút tiếng Nhật.,I can speak a little Japanese.
思う,おもう,omou,N5,verb,nghĩ; cho rằng,to think; to feel,daily,140,self,self-authored,おもしろいと思います。,おもしろいとおもいます。,Tôi nghĩ là thú vị.,I think it is interesting.
始める,はじめる,hajimeru,N5,verb,bắt đầu; khởi đầu,to begin; to start,daily,135,self,self-authored,日本語の勉強を始めます。,にほんごのべんきょうをはじめます。,Tôi bắt đầu học tiếng Nhật.,I start studying Japanese.
終わる,おわる,owaru,N5,verb,kết thúc; xong; chấm dứt,to end; to finish,daily,130,self,self-authored,仕事が終わりました。,しごとがおわりました。,Công việc xong rồi.,Work is finished.
売る,うる,uru,N5,verb,bán,to sell,daily|shopping,125,self,self-authored,この店で何を売っていますか。,このみせでなにをうっていますか。,Cửa hàng này bán gì?,What does this shop sell?
貸す,かす,kasu,N5,verb,cho mượn; cho vay,to lend; to loan,daily,120,self,self-authored,ペンを貸してください。,ペンをかしてください。,Cho tôi mượn cây bút.,Please lend me your pen.
借りる,かりる,kariru,N5,verb,mượn; vay,to borrow,daily,115,self,self-authored,図書館で本を借ります。,としょかんでほんをかります。,Tôi mượn sách ở thư viện.,I borrow books at the library.
大きい,おおきい,ookii,N5,adjective,to; lớn; rộng,big; large,daily,110,self,self-authored,大きい犬がいます。,おおきいいぬがいます。,Có một con chó to.,There is a big dog.
小さい,ちいさい,chiisai,N5,adjective,nhỏ; bé,small; little,daily,108,self,self-authored,小さい子供がいます。,ちいさいこどもがいます。,Có một đứa trẻ nhỏ.,There is a small child.
高い,たかい,takai,N5,adjective,cao; đắt tiền,tall; high; expensive,daily,106,self,self-authored,このりんごは高いですね。,このりんごはたかいですね。,Táo này đắt nhỉ.,This apple is expensive isn't it.
安い,やすい,yasui,N5,adjective,rẻ; phải chăng,cheap; inexpensive,daily|shopping,104,self,self-authored,このスーパーは安いです。,このスーパーはやすいです。,Siêu thị này rẻ.,This supermarket is cheap.
新しい,あたらしい,atarashii,N5,adjective,mới,new,daily,102,self,self-authored,新しい本を買いました。,あたらしいほんをかいました。,Tôi mua sách mới.,I bought a new book.
古い,ふるい,furui,N5,adjective,cũ; xưa,old (things),daily,100,self,self-authored,古い自転車があります。,ふるいじてんしゃがあります。,Có một cái xe đạp cũ.,There is an old bicycle.
面白い,おもしろい,omoshiroi,N5,adjective,thú vị; hay; hài hước,interesting; funny,daily,98,self,self-authored,この映画はとても面白いです。,このえいがはとてもおもしろいです。,Bộ phim này rất thú vị.,This movie is very interesting.
楽しい,たのしい,tanoshii,N5,adjective,vui; vui vẻ; thú vị,fun; enjoyable,daily,96,self,self-authored,毎日が楽しいです。,まいにちがたのしいです。,Mỗi ngày đều vui vẻ.,Every day is fun.
難しい,むずかしい,muzukashii,N5,adjective,khó; khó khăn,difficult,school|daily,94,self,self-authored,この問題は難しいです。,このもんだいはむずかしいです。,Bài này khó.,This problem is difficult.
やさしい,やさしい,yasashii,N5,adjective,dễ; dịu dàng; tốt bụng,easy; gentle; kind,daily,92,self,self-authored,先生はやさしいです。,せんせいはやさしいです。,Giáo viên tốt bụng.,The teacher is kind.
いい,いい,ii,N5,adjective,tốt; được; ổn,good; fine; OK,daily,90,self,self-authored,今日はいい天気ですね。,きょうはいいてんきですね。,Hôm nay thời tiết tốt nhỉ.,The weather is nice today.
悪い,わるい,warui,N5,adjective,xấu; tệ; có lỗi,bad; wrong,daily,88,self,self-authored,天気が悪いです。,てんきがわるいです。,Thời tiết xấu.,The weather is bad.
暑い,あつい,atsui,N5,adjective,nóng (thời tiết; đồ ăn),hot (weather; food),weather|daily,86,self,self-authored,今日は暑いですね。,きょうはあついですね。,Hôm nay nóng nhỉ.,It is hot today isn't it.
寒い,さむい,samui,N5,adjective,lạnh (thời tiết),cold (weather),weather|daily,84,self,self-authored,今日は寒いですね。,きょうはさむいですね。,Hôm nay lạnh nhỉ.,It is cold today isn't it.
冷たい,つめたい,tsumetai,N5,adjective,lạnh (vật; đồ uống),cold (to the touch; drinks),daily|food,82,self,self-authored,冷たい水を飲みます。,つめたいみずをのみます。,Tôi uống nước lạnh.,I drink cold water.
おいしい,おいしい,oishii,N5,adjective,ngon; ngon miệng,delicious; tasty,food|daily,80,self,self-authored,このケーキはとてもおいしいです。,このけーきはとてもおいしいです。,Cái bánh này ngon lắm.,This cake is very delicious.
まずい,まずい,mazui,N5,adjective,không ngon; dở,not delicious; unpleasant,food,78,self,self-authored,この料理はまずいです。,このりょうりはまずいです。,Món ăn này không ngon.,This dish is not delicious.
赤い,あかい,akai,N5,adjective,đỏ,red,color,76,self,self-authored,赤いりんごがあります。,あかいりんごがあります。,Có một quả táo đỏ.,There is a red apple.
青い,あおい,aoi,N5,adjective,xanh (lam); xanh da trời,blue; green,color,74,self,self-authored,青い空がきれいです。,あおいそらがきれいです。,Bầu trời xanh đẹp.,The blue sky is beautiful.
白い,しろい,shiroi,N5,adjective,trắng,white,color,72,self,self-authored,白い猫がいます。,しろいねこがいます。,Có một con mèo trắng.,There is a white cat.
黒い,くろい,kuroi,N5,adjective,đen,black,color,70,self,self-authored,黒いかばんを持っています。,くろいかばんをもっています。,Tôi có một cái túi đen.,I have a black bag.
長い,ながい,nagai,N5,adjective,dài,long,daily,68,self,self-authored,この道は長いです。,このみちはながいです。,Con đường này dài.,This road is long.
短い,みじかい,mijikai,N5,adjective,ngắn,short,daily,66,self,self-authored,この鉛筆は短いです。,このえんぴつはみじかいです。,Cây bút chì này ngắn.,This pencil is short.
上,うえ,ue,N5,noun,trên; phía trên; bề mặt trên,above; on top of,direction,64,self,self-authored,テーブルの上にコップがあります。,テーブルのうえにコップがあります。,Trên bàn có cái ly.,There is a glass on the table.
下,した,shita,N5,noun,dưới; phía dưới; bên dưới,below; under,direction,62,self,self-authored,いすの下に猫がいます。,いすのしたにねこがいます。,Dưới ghế có con mèo.,There is a cat under the chair.
左,ひだり,hidari,N5,noun,bên trái; trái,left,direction,60,self,self-authored,左に曲がってください。,ひだりにまがってください。,Hãy rẽ trái.,Please turn left.
右,みぎ,migi,N5,noun,bên phải; phải,right,direction,58,self,self-authored,右に曲がってください。,みぎにまがってください。,Hãy rẽ phải.,Please turn right.
前,まえ,mae,N5,noun,phía trước; trước,front; in front of; before,direction|time,56,self,self-authored,駅の前にあります。,えきのまえにあります。,Ở trước ga tàu.,It is in front of the station.
後ろ,うしろ,ushiro,N5,noun,phía sau; sau lưng,back; behind,direction,54,self,self-authored,後ろを見てください。,うしろをみてください。,Hãy nhìn ra phía sau.,Please look behind.
中,なか,naka,N5,noun,trong; bên trong; giữa,inside; in; among,direction,52,self,self-authored,箱の中に何がありますか。,はこのなかになにがありますか。,Trong hộp có gì?,What is inside the box?
外,そと,soto,N5,noun,ngoài; bên ngoài,outside; outdoors,direction,50,self,self-authored,外は寒いです。,そとはさむいです。,Ngoài trời lạnh.,It is cold outside.
近く,ちかく,chikaku,N5,noun,gần; gần đây; gần đó,near; nearby,direction,48,self,self-authored,駅の近くにスーパーがあります。,えきのちかくにスーパーがあります。,Gần ga có siêu thị.,There is a supermarket near the station.
隣,となり,tonari,N5,noun,bên cạnh; kế bên,next to; neighboring,direction|daily,46,self,self-authored,となりの部屋がうるさいです。,となりのへやがうるさいです。,Phòng bên cạnh ồn.,The room next door is noisy.
間,あいだ,aida,N5,noun,khoảng giữa; giữa; trong khi,between; during,direction|time,44,self,self-authored,銀行とスーパーの間にあります。,ぎんこうとスーパーのあいだにあります。,Ở giữa ngân hàng và siêu thị.,It is between the bank and the supermarket.
何,なに,nani,N5,noun,cái gì; điều gì,what,question,42,self,self-authored,何が好きですか。,なにがすきですか。,Bạn thích cái gì?,What do you like?
どこ,どこ,doko,N5,noun,ở đâu; nơi nào,where,question,41,self,self-authored,トイレはどこですか。,トイレはどこですか。,Nhà vệ sinh ở đâu?,Where is the restroom?
いつ,いつ,itsu,N5,noun,khi nào; lúc nào,when,question|time,40,self,self-authored,いつ日本に来ましたか。,いつにほんにきましたか。,Bạn đến Nhật khi nào?,When did you come to Japan?
どれ,どれ,dore,N5,noun,cái nào (trong nhiều thứ),which one,question,39,self,self-authored,どれが好きですか。,どれがすきですか。,Bạn thích cái nào?,Which one do you like?
どう,どう,dou,N5,adverb,thế nào; như thế nào,how; what do you think,question,38,self,self-authored,気分はどうですか。,きぶんはどうですか。,Bạn cảm thấy thế nào?,How are you feeling?
なぜ,なぜ,naze,N5,adverb,tại sao; vì sao,why,question,37,self,self-authored,なぜ遅れましたか。,なぜおくれましたか。,Tại sao bạn đến trễ?,Why were you late?
いくら,いくら,ikura,N5,noun,bao nhiêu tiền; giá bao nhiêu,how much (money),question|shopping,36,self,self-authored,これはいくらですか。,これはいくらですか。,Cái này bao nhiêu tiền?,How much is this?
いくつ,いくつ,ikutsu,N5,noun,mấy cái; bao nhiêu; mấy tuổi,how many; how old,question,35,self,self-authored,りんごはいくつありますか。,りんごはいくつありますか。,Có bao nhiêu quả táo?,How many apples are there?
どんな,どんな,donna,N5,adjective,như thế nào; loại gì,what kind of,question,34,self,self-authored,どんな音楽が好きですか。,どんなおんがくがすきですか。,Bạn thích nhạc gì?,What kind of music do you like?
どちら,どちら,dochira,N5,noun,bên nào; cái nào (trong hai),which of the two; which direction,question|direction,33,self,self-authored,どちらが好きですか。,どちらがすきですか。,Bạn thích cái nào hơn?,Which do you prefer?
もう,もう,mou,N5,adverb,rồi; đã; không nữa,already; anymore,daily,32,self,self-authored,もう食べました。,もうたべました。,Tôi ăn rồi.,I have already eaten.
まだ,まだ,mada,N5,adverb,vẫn còn; chưa,still; not yet,daily,31,self,self-authored,まだ食べていません。,まだたべていません。,Tôi chưa ăn.,I have not eaten yet.
また,また,mata,N5,adverb,lại; lại nữa; hẹn gặp lại,again; also,daily,30,self,self-authored,またあとで。,またあとで。,Hẹn gặp lại sau.,See you later.
もっと,もっと,motto,N5,adverb,nhiều hơn; hơn nữa,more; much more,daily,29,self,self-authored,もっとゆっくり話してください。,もっとゆっくりはなしてください。,Hãy nói chậm hơn nữa.,Please speak more slowly.
とても,とても,totemo,N5,adverb,rất; vô cùng,very; quite,daily,28,self,self-authored,日本語はとても難しいです。,にほんごはとてもむずかしいです。,Tiếng Nhật rất khó.,Japanese is very difficult.
ちょっと,ちょっと,chotto,N5,adverb,một chút; tí; một lúc,a little; a moment,daily,27,self,self-authored,ちょっと待ってください。,ちょっとまってください。,Xin chờ một chút.,Please wait a moment.
ゆっくり,ゆっくり,yukkuri,N5,adverb,chậm; từ từ; thư thả,slowly; leisurely,daily,26,self,self-authored,ゆっくり話してください。,ゆっくりはなしてください。,Hãy nói chậm thôi.,Please speak slowly.
よく,よく,yoku,N5,adverb,thường; thường xuyên; giỏi,often; well; frequently,daily,25,self,self-authored,よく映画を見ます。,よくえいがをみます。,Tôi thường xuyên xem phim.,I often watch movies.
いつも,いつも,itsumo,N5,adverb,lúc nào cũng; luôn luôn,always; usually,daily,24,self,self-authored,いつもありがとうございます。,いつもありがとうございます。,Lúc nào cũng cảm ơn bạn.,Thank you always.
ときどき,ときどき,tokidoki,N5,adverb,thỉnh thoảng; đôi khi,sometimes; occasionally,daily,23,self,self-authored,ときどきコーヒーを飲みます。,ときどきコーヒーをのみます。,Thỉnh thoảng tôi uống cà phê.,I sometimes drink coffee.
あまり,あまり,amari,N5,adverb,không lắm; không mấy (phủ định),not very; not much (negation),daily,22,self,self-authored,あまり食べません。,あまりたべません。,Tôi không ăn nhiều lắm.,I don't eat much.
そして,そして,soshite,N5,conjunction,và; rồi; sau đó,and then; and,conjunction|daily,21,self,self-authored,朝ごはんを食べて、そして学校に行きます。,あさごはんをたべて、そしてがっこうにいきます。,Tôi ăn sáng rồi đi học.,I eat breakfast and then go to school.
でも,でも,demo,N5,conjunction,nhưng; tuy nhiên,but; however,conjunction|daily,20,self,self-authored,行きたいです。でもお金がありません。,いきたいです。でもおかねがありません。,Tôi muốn đi. Nhưng không có tiền.,I want to go. But I don't have money.
これ,これ,kore,N5,noun,cái này; đây,this (thing),pronoun|daily,19,self,self-authored,これは何ですか。,これはなんですか。,Đây là cái gì?,What is this?
それ,それ,sore,N5,noun,cái đó; đó,that (thing near you),pronoun|daily,18,self,self-authored,それをください。,それをください。,Cho tôi cái đó.,Please give me that.
あれ,あれ,are,N5,noun,cái kia; kia,that (thing over there),pronoun|daily,17,self,self-authored,あれは何の建物ですか。,あれはなんのたてものですか。,Tòa nhà kia là gì?,What building is that over there?
ここ,ここ,koko,N5,noun,đây; nơi đây; chỗ này,here; this place,place|daily,16,self,self-authored,ここに座ってください。,ここにすわってください。,Hãy ngồi đây.,Please sit here.
そこ,そこ,soko,N5,noun,đó; nơi đó; chỗ đó,there; that place,place|daily,15,self,self-authored,そこに置いてください。,そこにおいてください。,Hãy đặt ở đó.,Please put it there.
あそこ,あそこ,asoko,N5,noun,kia; nơi kia; chỗ kia,over there; that place,place|daily,14,self,self-authored,あそこに座りましょう。,あそこにすわりましょう。,Hãy ngồi ở đằng kia nào.,Let's sit over there.
色,いろ,iro,N5,noun,màu; màu sắc,color,daily,13,self,self-authored,何色が好きですか。,なにいろがすきですか。,Bạn thích màu gì?,What color do you like?
声,こえ,koe,N5,noun,giọng; tiếng; âm thanh,voice; sound,daily,12,self,self-authored,もっと大きい声で話してください。,もっとおおきいこえではなしてください。,Hãy nói to hơn.,Please speak in a louder voice.
空,そら,sora,N5,noun,bầu trời; trời,sky,nature|daily,11,self,self-authored,空が青いですね。,そらがあおいですね。,Bầu trời xanh nhỉ.,The sky is blue isn't it.
海,うみ,umi,N5,noun,biển; biển cả,sea; ocean,nature|travel,10,self,self-authored,海を見に行きます。,うみをみにいきます。,Tôi đi xem biển.,I go to see the sea.
山,やま,yama,N5,noun,núi; ngọn núi,mountain,nature|travel,9,self,self-authored,山に登りたいです。,やまにのぼりたいです。,Tôi muốn leo núi.,I want to climb the mountain.
川,かわ,kawa,N5,noun,sông; con sông,river,nature,8,self,self-authored,川のそばを歩きます。,かわのそばをあるきます。,Tôi đi bộ ven sông.,I walk along the river.
花,はな,hana,N5,noun,hoa; bông hoa,flower,nature,7,self,self-authored,花がきれいですね。,はながきれいですね。,Hoa đẹp nhỉ.,The flowers are pretty aren't they.
猫,ねこ,neko,N5,noun,con mèo,cat,animal,6,self,self-authored,猫を飼っています。,ねこをかっています。,Tôi nuôi mèo.,I have a cat.
犬,いぬ,inu,N5,noun,con chó,dog,animal,5,self,self-authored,犬が好きです。,いぬがすきです。,Tôi thích chó.,I like dogs.
元気,げんき,genki,N5,adjective,khỏe mạnh; vui vẻ; có năng lượng,healthy; energetic; fine,health|daily,4,self,self-authored,お元気ですか。,おげんきですか。,Bạn có khỏe không?,How are you?
きれい,きれい,kirei,N5,adjective,đẹp; sạch sẽ,beautiful; clean,daily,3,self,self-authored,この部屋はきれいですね。,このへやはきれいですね。,Phòng này đẹp nhỉ.,This room is beautiful isn't it.
